OBJECTID,Time,budget_year,Group_Section,department,DIVISION,DEPARTMENT_DESCRIPTION,fund_code,FUND_DESCRIPTION,account_type,account_category,ACCOUNT_DESCRIPTION,amount
594,2015,FY2014_15,Operating,Community Development,Administration Division,Administrative Services,General Funds,General Fund,Expenses,Other Services and Supplies,Food - Official Hospitality,200
595,2015,FY2014_15,Operating,Community Development,Administration Division,Administrative Services,General Funds,General Fund,Expenses,Employee Services,Overtime,57300
596,2015,FY2014_15,Operating,Community Development,Administration Division,Administrative Services,General Funds,General Fund,Expenses,Employee Services,Regular Hours,1491519
597,2015,FY2014_15,Operating,Community Development,Administration Division,Administrative Services,General Funds,General Fund,Expenses,Other Services and Supplies,Contracted Instructional Svcs,32000
598,2015,FY2014_15,Operating,Community Development,Administration Division,Administrative Services,General Funds,General Fund,Expenses,Other Services and Supplies,Management Consulting,5000
599,2015,FY2014_15,Operating,Community Development,Administration Division,Administrative Services,General Funds,General Fund,Expenses,Employee Services,Longevity,1700
600,2015,FY2014_15,Operating,Community Development,Administration Division,Administrative Services,General Funds,General Fund,Expenses,Employee Services,Out Of Class,7500
601,2015,FY2014_15,Operating,Community Development,Administration Division,Administrative Services,General Funds,General Fund,Expenses,Other Services and Supplies,Repair And Maintenance Service,4000
602,2015,FY2014_15,Operating,Community Development,Administration Division,Administrative Services,General Funds,General Fund,Expenses,Other Services and Supplies,Other Technical Services,20000
603,2015,FY2014_15,Operating,Community Development,Administration Division,Administrative Services,General Funds,General Fund,Expenses,Other Services and Supplies,Clerical Services,12500
604,2015,FY2014_15,Operating,Community Development,Administration Division,Administrative Services,General Funds,General Fund,Expenses,Other Services and Supplies,Other Professional Services,127999
605,2015,FY2014_15,Operating,Community Development,Administration Division,Administrative Services,General Funds,General Fund,Expenses,Other Services and Supplies,Computer Software Maintenance,41600
606,2015,FY2014_15,Operating,Community Development,Administration Division,Administrative Services,General Funds,General Fund,Expenses,Other Services and Supplies,Computer Hardware Maintenance,2300
607,2015,FY2014_15,Operating,Community Development,Administration Division,Administrative Services,General Funds,General Fund,Expenses,Employee Services,Deferred Compensation No 1,39535
608,2015,FY2014_15,Operating,Community Development,Administration Division,Administrative Services,General Funds,General Fund,Expenses,Employee Services,PERS Retirement,215062
609,2015,FY2014_15,Operating,Community Development,Administration Division,Administrative Services,General Funds,General Fund,Expenses,Employee Services,Insurance Contribution,162307
610,2015,FY2014_15,Operating,Community Development,Administration Division,Administrative Services,General Funds,General Fund,Expenses,Employee Services,FICA - OASDI,88809
611,2015,FY2014_15,Operating,Community Development,Administration Division,Administrative Services,General Funds,General Fund,Expenses,Employee Services,Automobile Allowance,22001
612,2015,FY2014_15,Operating,Community Development,Administration Division,Administrative Services,General Funds,General Fund,Expenses,Employee Services,Bus Passes,1700
613,2015,FY2014_15,Operating,Community Development,Administration Division,Administrative Services,General Funds,General Fund,Expenses,Employee Services,Worker's Compensation,14915
614,2015,FY2014_15,Operating,Community Development,Administration Division,Administrative Services,General Funds,General Fund,Expenses,Employee Services,State Unemployment Insurance,3990
615,2015,FY2014_15,Operating,Community Development,Administration Division,Administrative Services,General Funds,General Fund,Expenses,Employee Services,Medicare Insurance,21627
616,2015,FY2014_15,Operating,Community Development,Administration Division,Administrative Services,General Funds,General Fund,Revenues,Intergovernmental,Miscellaneous Governmental Revenue,101000
617,2015,FY2014_15,Operating,Community Development,Administration Division,Administrative Services,General Funds,General Fund,Expenses,Employee Services,Department Labor Reduction,-153961
618,2015,FY2014_15,Operating,Community Development,Administration Division,Administrative Services,General Funds,General Fund,Expenses,Labor and Supply Offset,Central Services Mail Charges,1600
619,2015,FY2014_15,Operating,Community Development,Administration Division,Administrative Services,General Funds,General Fund,Expenses,City Property,Computer Equipment,8400
620,2015,FY2014_15,Operating,Community Development,Administration Division,Administrative Services,General Funds,General Fund,Expenses,City Property,Furniture And Fixture,19000
621,2015,FY2014_15,Operating,Community Development,Administration Division,Administrative Services,General Funds,General Fund,Expenses,Other Services and Supplies,Rental Of Equipment,38000
622,2015,FY2014_15,Operating,Community Development,Administration Division,Administrative Services,General Funds,General Fund,Expenses,Other Services and Supplies,Personnel Recruitment Advertis,200
623,2015,FY2014_15,Operating,Community Development,Administration Division,Administrative Services,General Funds,General Fund,Expenses,Other Services and Supplies,Rental Of Vehicles,9292
624,2015,FY2014_15,Operating,Community Development,Administration Division,Administrative Services,General Funds,General Fund,Expenses,Other Services and Supplies,Office Supplies,-4975
625,2015,FY2014_15,Operating,Community Development,Administration Division,Administrative Services,General Funds,General Fund,Expenses,Other Services and Supplies,Department Budget Reduction,-110986
626,2015,FY2014_15,Operating,Community Development,Administration Division,Administrative Services,General Funds,General Fund,Expenses,Other Services and Supplies,Contracted Instructional Svcs,-12000
627,2015,FY2014_15,Operating,Community Development,Administration Division,Administrative Services,General Funds,General Fund,Expenses,Other Services and Supplies,Other Technical Services,-15000
628,2015,FY2014_15,Operating,Community Development,Administration Division,Administrative Services,General Funds,General Fund,Expenses,Other Services and Supplies,Clerical Services,-11000
629,2015,FY2014_15,Operating,Community Development,Administration Division,Administrative Services,General Funds,General Fund,Expenses,Employee Services,Department Labor Reduction,153961
630,2015,FY2014_15,Operating,Community Development,Administration Division,Administrative Services,General Funds,General Fund,Expenses,Labor and Supply Offset,CIP Labor Reimbursement - CR,-106348
631,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Fiscal and Management Services,General Funds,General Fund,Expenses,Employee Services,Base Labor Increase,26986
632,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Fiscal and Management Services,General Funds,General Fund,Expenses,Other Services and Supplies,Department Budget Reduction,10000
633,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Fiscal and Management Services,General Funds,General Fund,Expenses,Employee Services,Insurance Contribution,58716
634,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Fiscal and Management Services,General Funds,General Fund,Expenses,Other Services and Supplies,Rental Of Land And Buildings,9
635,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Fiscal and Management Services,General Funds,General Fund,Expenses,Other Services and Supplies,Repair And Maintenance Service,1070
636,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Fiscal and Management Services,General Funds,General Fund,Expenses,Other Services and Supplies,Other Technical Services,14512
637,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Fiscal and Management Services,General Funds,General Fund,Expenses,Other Services and Supplies,Other Professional Services,14909
638,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Fiscal and Management Services,General Funds,General Fund,Expenses,Employee Services,Longevity,1000
639,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Fiscal and Management Services,General Funds,General Fund,Expenses,Employee Services,Overtime,1505
640,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Fiscal and Management Services,General Funds,General Fund,Expenses,Employee Services,Regular Hours,572241
641,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Fiscal and Management Services,General Funds,General Fund,Expenses,Other Services and Supplies,Rental Of Equipment,12506
642,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Fiscal and Management Services,General Funds,General Fund,Expenses,Labor and Supply Offset,CIP Labor Reimbursement - CR,-21299
643,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Fiscal and Management Services,General Funds,General Fund,Expenses,Labor and Supply Offset,Central Services Mail Charges,3153
644,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Fiscal and Management Services,General Funds,General Fund,Revenues,"Charges, Fees, and Services",Facility Use Fees,21512
645,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Fiscal and Management Services,General Funds,General Fund,Expenses,Employee Services,Worker's Compensation,5722
646,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Fiscal and Management Services,General Funds,General Fund,Expenses,Employee Services,State Unemployment Insurance,1470
647,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Fiscal and Management Services,General Funds,General Fund,Expenses,Employee Services,Medicare Insurance,8297
648,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Fiscal and Management Services,General Funds,General Fund,Expenses,Employee Services,FICA - OASDI,32129
649,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Fiscal and Management Services,General Funds,General Fund,Expenses,Employee Services,Automobile Allowance,3000
650,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Fiscal and Management Services,General Funds,General Fund,Expenses,Employee Services,Bus Passes,1440
651,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Fiscal and Management Services,General Funds,General Fund,Expenses,Employee Services,Deferred Compensation No 1,18850
652,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Fiscal and Management Services,General Funds,General Fund,Expenses,Employee Services,PERS Retirement,82511
653,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Fiscal and Management Services,General Funds,General Fund,Expenses,Other Services and Supplies,Memberships Licenses and Dues,578
654,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Fiscal and Management Services,General Funds,General Fund,Expenses,Other Services and Supplies,Group Benefit Clearing,5279
655,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Fiscal and Management Services,General Funds,General Fund,Expenses,Other Services and Supplies,Food - Official Hospitality,950
656,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Fiscal and Management Services,General Funds,General Fund,Expenses,Other Services and Supplies,Office Supplies,4963
657,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Fiscal and Management Services,General Funds,General Fund,Expenses,Other Services and Supplies,Postage,106
658,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Fiscal and Management Services,General Funds,General Fund,Expenses,Other Services and Supplies,Transportation,5305
659,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Fiscal and Management Services,General Funds,General Fund,Expenses,Other Services and Supplies,Cellular Telephone,1000
660,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Fiscal and Management Services,General Funds,General Fund,Expenses,Other Services and Supplies,Telephone,62
661,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,General Funds,General Fund,Expenses,Other Services and Supplies,Postage,200
662,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,General Funds,General Fund,Expenses,Other Services and Supplies,Other Travel Expenses,2100
663,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,General Funds,General Fund,Expenses,Other Services and Supplies,Lodging,1750
664,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,General Funds,General Fund,Expenses,Other Services and Supplies,Meals,750
665,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,General Funds,General Fund,Expenses,Other Services and Supplies,Transportation,1500
666,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,General Funds,General Fund,Expenses,Other Services and Supplies,Communication Lines,18013
667,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,General Funds,General Fund,Expenses,Other Services and Supplies,Cellular Telephone,5000
668,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,General Funds,General Fund,Expenses,Other Services and Supplies,Telephone,16000
669,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,General Funds,General Fund,Expenses,Employee Services,Insurance Contribution,33305
670,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,General Funds,General Fund,Expenses,Other Services and Supplies,Computer Software Maintenance,16900
671,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,General Funds,General Fund,Expenses,Other Services and Supplies,Computer Hardware Maintenance,8807
672,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,General Funds,General Fund,Expenses,Other Services and Supplies,Repair And Maintenance Service,8709
673,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,General Funds,General Fund,Expenses,Other Services and Supplies,Other Technical Services,275
674,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,General Funds,General Fund,Expenses,Other Services and Supplies,Contracted Instructional Svcs,10000
675,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,General Funds,General Fund,Expenses,Employee Services,Overtime,6000
676,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,General Funds,General Fund,Expenses,Employee Services,Regular Hours,289818
677,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,Other Governmental Funds,Special Recreation,Expenses,Labor and Supply Offset,Other Cost Reimbursement - DR,154240
678,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,General Funds,General Fund,Expenses,Labor and Supply Offset,Other Cost Reimbursement - CR,-154240
679,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,Other Governmental Funds,START Fund,Expenses,Transfers,Cost Reimb-Emp Svces-Chrg,40000
680,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,Other Governmental Funds,4th R Program,Expenses,Transfers,Cost Reimb-Emp Svces-Chrg,16000
681,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,General Funds,General Fund,Expenses,Transfers,Cost Reimb-Emp Svces-Credit,-56000
682,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,General Funds,General Fund,Expenses,City Property,Computer Equipment,20730
683,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,General Funds,General Fund,Expenses,Employee Services,Worker's Compensation,2898
684,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,General Funds,General Fund,Expenses,Employee Services,State Unemployment Insurance,840
685,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,General Funds,General Fund,Expenses,Employee Services,Medicare Insurance,4202
686,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,General Funds,General Fund,Expenses,Employee Services,FICA - OASDI,17969
687,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,General Funds,General Fund,Expenses,Employee Services,Automobile Allowance,1300
688,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,General Funds,General Fund,Expenses,Employee Services,Deferred Compensation No 1,3667
689,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,General Funds,General Fund,Expenses,Employee Services,PERS Retirement,37216
690,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,General Funds,General Fund,Expenses,Other Services and Supplies,Department Budget Reduction,-43729
691,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,General Funds,General Fund,Expenses,Other Services and Supplies,Memberships Licenses and Dues,50
692,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,General Funds,General Fund,Expenses,Other Services and Supplies,Group Benefit Clearing,1900
693,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,General Funds,General Fund,Expenses,Other Services and Supplies,Books & Periodicals,707
694,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,General Funds,General Fund,Expenses,Other Services and Supplies,Food - Food Programs,1000
695,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,General Funds,General Fund,Expenses,Other Services and Supplies,Computer Software,5000
696,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,General Funds,General Fund,Expenses,Other Services and Supplies,Computer Supplies,6000
697,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,General Funds,General Fund,Expenses,Other Services and Supplies,Small Tools And Equipment,500
698,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,General Funds,General Fund,Expenses,Other Services and Supplies,Office Supplies,4529
699,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Golf Admin,Other Governmental Funds,Golf Fund,Expenses,Employee Services,PERS Retirement,12665
700,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Golf Admin,Other Governmental Funds,Golf Fund,Expenses,Employee Services,Insurance Contribution,2724
701,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Golf Admin,Other Governmental Funds,Golf Fund,Expenses,Other Services and Supplies,Computer Software Maintenance,700
702,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Golf Admin,Other Governmental Funds,Golf Fund,Expenses,Employee Services,Regular Hours,87839
703,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Golf Admin,Other Governmental Funds,Golf Fund,Revenues,Miscellaneous Revenue,Other Departmental Services,65900
704,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Golf Admin,Other Governmental Funds,Golf Fund,Revenues,"Charges, Fees, and Services",Concessions,1325000
705,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Golf Admin,Other Governmental Funds,Golf Fund,Revenues,"Charges, Fees, and Services",Facility Use Fees,4000
706,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Golf Admin,Other Governmental Funds,Golf Fund,Expenses,Employee Services,Worker's Compensation,878
707,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Golf Admin,Other Governmental Funds,Golf Fund,Expenses,Employee Services,State Unemployment Insurance,210
708,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Golf Admin,Other Governmental Funds,Golf Fund,Expenses,Employee Services,Medicare Insurance,1274
709,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Golf Admin,Other Governmental Funds,Golf Fund,Expenses,Employee Services,FICA - OASDI,5446
710,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Golf Admin,Other Governmental Funds,Golf Fund,Expenses,Employee Services,Deferred Compensation No 1,3514
711,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Golf Admin,Other Governmental Funds,Golf Fund,Expenses,Other Services and Supplies,Office Supplies,500
712,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Golf Admin,Other Governmental Funds,Golf Fund,Expenses,Other Services and Supplies,Postage,100
713,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Golf Admin,Other Governmental Funds,Golf Fund,Expenses,Other Services and Supplies,Telephone,54850
714,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Golf Admin,Other Governmental Funds,Golf Fund,Expenses,Other Services and Supplies,Property Insurance Premiums,1403
715,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Golf Admin,Other Governmental Funds,Golf Fund,Expenses,Other Services and Supplies,Liability Insurance Premiums,9717
716,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Golf Admin,Other Governmental Funds,Golf Fund,Expenses,Other Services and Supplies,Fees And Permits,2500
717,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Wm. Land Park Golf Course,Other Governmental Funds,Golf Fund,Expenses,Other Services and Supplies,Repair And Maintenance Service,1000
718,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Wm. Land Park Golf Course,Other Governmental Funds,Golf Fund,Revenues,Miscellaneous Revenue,Other Departmental Services,48451
719,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Wm. Land Park Golf Course,Other Governmental Funds,Golf Fund,Expenses,Other Services and Supplies,Property Insurance Premiums,351
720,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Wm. Land Park Golf Course,Other Governmental Funds,Golf Fund,Expenses,Other Services and Supplies,Utilities Exp,4750
721,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Wm. Land Park Golf Course,Other Governmental Funds,Golf Fund,Expenses,Other Services and Supplies,Telephone,1735
722,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Wm. Land Park Golf Course,Other Governmental Funds,Golf Fund,Revenues,"Charges, Fees, and Services",Administrative Fee,36460
723,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Fiscal and Management Services,General Funds,General Fund,Expenses,Other Services and Supplies,Rental Of Vehicles,49
724,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,General Funds,General Fund,Expenses,Other Services and Supplies,Vehicle Repair and Maintenance,1925
725,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,General Funds,General Fund,Expenses,Other Services and Supplies,Rental Of Vehicles,40
726,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Technology Service,General Funds,General Fund,Expenses,Other Services and Supplies,Fuel,965
727,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Wm. Land Park Golf Course,Other Governmental Funds,Golf Fund,Expenses,Other Services and Supplies,Vehicle Repair and Maintenance,779
728,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Wm. Land Park Golf Course,Other Governmental Funds,Golf Fund,Expenses,Other Services and Supplies,Fuel,28940
729,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Fiscal and Management Services,General Funds,General Fund,Expenses,Employee Services,Base Labor Increase,-26986
730,2015,FY2014_15,Operating,Parks and Recreation,Administrative Services Division,Fiscal and Management Services,General Funds,General Fund,Expenses,Other Services and Supplies,Department Budget Reduction,-10000
731,2015,FY2014_15,Operating,General Services,Animal Care Services Division,Animal Care / Shelter,General Funds,General Fund,Expenses,Other Services and Supplies,Food - Animal Consumption,60000
732,2015,FY2014_15,Operating,General Services,Animal Care Services Division,Animal Care / Shelter,General Funds,General Fund,Expenses,Other Services and Supplies,Medical & Veterinary Supplies,14500
733,2015,FY2014_15,Operating,General Services,Animal Care Services Division,Animal Care / Shelter,General Funds,General Fund,Expenses,Other Services and Supplies,Veterinarian Services,122000
734,2015,FY2014_15,Operating,General Services,Animal Care Services Division,Animal Care Administration,General Funds,General Fund,Revenues,Licenses and Permits,Animal Licenses,358000
735,2015,FY2014_15,Operating,General Services,Animal Care Services Division,Animal Care Customer Service,General Funds,General Fund,Revenues,Licenses and Permits,Animal Licenses,-358000
736,2015,FY2014_15,Operating,General Services,Animal Care Services Division,Animal Enforcement/Field Svcs,General Funds,General Fund,Expenses,Other Services and Supplies,Group Benefit Clearing,957
737,2015,FY2014_15,Operating,General Services,Animal Care Services Division,Animal Enforcement/Field Svcs,General Funds,General Fund,Expenses,Other Services and Supplies,Books & Periodicals,500
738,2015,FY2014_15,Operating,General Services,Animal Care Services Division,Animal Enforcement/Field Svcs,General Funds,General Fund,Expenses,Other Services and Supplies,Department Budget Reduction,-15000
739,2015,FY2014_15,Operating,General Services,Animal Care Services Division,Animal Enforcement/Field Svcs,General Funds,General Fund,Expenses,Other Services and Supplies,Memberships Licenses and Dues,50
740,2015,FY2014_15,Operating,General Services,Animal Care Services Division,Animal Enforcement/Field Svcs,General Funds,General Fund,Expenses,Other Services and Supplies,Computer Supplies,1000
741,2015,FY2014_15,Operating,General Services,Animal Care Services Division,Animal Enforcement/Field Svcs,General Funds,General Fund,Expenses,Other Services and Supplies,Ammunition & Explosives,800
742,2015,FY2014_15,Operating,General Services,Animal Care Services Division,Animal Enforcement/Field Svcs,General Funds,General Fund,Expenses,Other Services and Supplies,Small Tools And Equipment,6000
743,2015,FY2014_15,Operating,General Services,Animal Care Services Division,Animal Enforcement/Field Svcs,General Funds,General Fund,Expenses,Other Services and Supplies,Medical & Veterinary Supplies,1800
744,2015,FY2014_15,Operating,General Services,Animal Care Services Division,Animal Enforcement/Field Svcs,General Funds,General Fund,Expenses,Other Services and Supplies,Office Supplies,400
745,2015,FY2014_15,Operating,General Services,Animal Care Services Division,Animal Enforcement/Field Svcs,General Funds,General Fund,Expenses,Other Services and Supplies,Safety Equipment,800
746,2015,FY2014_15,Operating,General Services,Animal Care Services Division,Animal Enforcement/Field Svcs,General Funds,General Fund,Expenses,Other Services and Supplies,Printing And Binding,1500
747,2015,FY2014_15,Operating,General Services,Animal Care Services Division,Animal Enforcement/Field Svcs,General Funds,General Fund,Expenses,Other Services and Supplies,Postage,200
748,2015,FY2014_15,Operating,General Services,Animal Care Services Division,Animal Enforcement/Field Svcs,General Funds,General Fund,Expenses,Other Services and Supplies,Other Travel Expenses,500
749,2015,FY2014_15,Operating,General Services,Animal Care Services Division,Animal Enforcement/Field Svcs,General Funds,General Fund,Expenses,Other Services and Supplies,Lodging,1500
750,2015,FY2014_15,Operating,General Services,Animal Care Services Division,Animal Enforcement/Field Svcs,General Funds,General Fund,Expenses,Other Services and Supplies,Meals,300
751,2015,FY2014_15,Operating,General Services,Animal Care Services Division,Animal Enforcement/Field Svcs,General Funds,General Fund,Expenses,Other Services and Supplies,Cellular Telephone,500
752,2015,FY2014_15,Operating,General Services,Animal Care Services Division,Animal Enforcement/Field Svcs,General Funds,General Fund,Expenses,Employee Services,Worker's Compensation,19147
753,2015,FY2014_15,Operating,General Services,Animal Care Services Division,Animal Enforcement/Field Svcs,General Funds,General Fund,Expenses,Labor and Supply Offset,Measure U Labor Reimbursement,-67176
754,2015,FY2014_15,Operating,General Services,Animal Care Services Division,Animal Enforcement/Field Svcs,General Funds,General Fund,Expenses,Employee Services,Clothing and Uniforms,4000
755,2015,FY2014_15,Operating,General Services,Animal Care Services Division,Animal Enforcement/Field Svcs,General Funds,General Fund,Expenses,Employee Services,Medicare Insurance,8715
756,2015,FY2014_15,Operating,General Services,Animal Care Services Division,Animal Enforcement/Field Svcs,General Funds,General Fund,Expenses,Employee Services,State Unemployment Insurance,2310
757,2015,FY2014_15,Operating,General Services,Animal Care Services Division,Animal Enforcement/Field Svcs,General Funds,General Fund,Revenues,"Fines, Forfeitures, and  Penalties",Fines and Penalties,74000
758,2015,FY2014_15,Operating,General Services,Animal Care Services Division,Animal Enforcement/Field Svcs,General Funds,General Fund,Expenses,Other Services and Supplies,Radio Equip M&R-Comm Division,3800
759,2015,FY2014_15,Operating,General Services,Animal Care Services Division,Animal Enforcement/Field Svcs,General Funds,General Fund,Expenses,Employee Services,Insurance Contribution,119302
760,2015,FY2014_15,Operating,General Services,Animal Care Services Division,Animal Enforcement/Field Svcs,General Funds,General Fund,Expenses,Employee Services,PERS Retirement,86660
761,2015,FY2014_15,Operating,General Services,Animal Care Services Division,Animal Enforcement/Field Svcs,General Funds,General Fund,Expenses,Employee Services,Deferred Compensation No 1,4240
762,2015,FY2014_15,Operating,General Services,Animal Care Services Division,Animal Enforcement/Field Svcs,General Funds,General Fund,Expenses,Employee Services,FICA - OASDI,37263
763,2015,FY2014_15,Operating,General Services,Animal Care Services Division,Animal Enforcement/Field Svcs,General Funds,General Fund,Expenses,Other Services and Supplies,Contracted Instructional Svcs,2500
764,2015,FY2014_15,Operating,General Services,Animal Care Services Division,Animal Enforcement/Field Svcs,General Funds,General Fund,Expenses,Employee Services,Regular Hours,601015
765,2015,FY2014_15,Operating,General Services,Animal Care Services Division,Animal Enforcement/Field Svcs,General Funds,General Fund,Expenses,Employee Services,On Call,7385
766,2015,FY2014_15,Operating,General Services,Animal Care Services Division,Animal Enforcement/Field Svcs,General Funds,General Fund,Expenses,Employee Services,Overtime,35000
767,2015,FY2014_15,Operating,General Services,Animal Care Services Division,Animal Enforcement/Field Svcs,General Funds,General Fund,Expenses,Employee Services,Longevity,900
768,2015,FY2014_15,Operating,General Services,Animal Care Services Division,Animal Enforcement/Field Svcs,General Funds,General Fund,Expenses,Other Services and Supplies,Legal Services,3000
769,2015,FY2014_15,Operating,General Services,Animal Care Services Division,Animal Care / Shelter,General Funds,General Fund,Expenses,Other Services and Supplies,Lodging,1500
770,2015,FY2014_15,Operating,General Services,Animal Care Services Division,Animal Care / Shelter,General Funds,General Fund,Expenses,Other Services and Supplies,Group Benefit Clearing,264
