OBJECTID,Time,budget_year,Group_Section,department,DIVISION,DEPARTMENT_DESCRIPTION,fund_code,FUND_DESCRIPTION,account_type,account_category,ACCOUNT_DESCRIPTION,amount
11607,2016,FY2015_16,Public Safety,Police,Field Services Division,Communications,General Funds,General Fund,Expenses,Other Services and Supplies,Food - Official Hospitality,300
11608,2016,FY2015_16,Public Safety,Police,Field Services Division,Communications,General Funds,General Fund,Expenses,Other Services and Supplies,Utilities Exp,21908
11609,2016,FY2015_16,Public Safety,Police,Field Services Division,Communications,General Funds,General Fund,Expenses,Other Services and Supplies,Computer Software,5000
11610,2016,FY2015_16,Public Safety,Police,Field Services Division,Communications,General Funds,General Fund,Expenses,Other Services and Supplies,Subscriptions And Publications,100
11611,2016,FY2015_16,Public Safety,Police,Field Services Division,Communications,General Funds,General Fund,Expenses,Other Services and Supplies,Books & Periodicals,500
11612,2016,FY2015_16,Public Safety,Police,Field Services Division,Communications,General Funds,General Fund,Expenses,Other Services and Supplies,Books & Periodicals,1000
11613,2016,FY2015_16,Public Safety,Police,Field Services Division,Communications,General Funds,General Fund,Expenses,Other Services and Supplies,Small Tools And Equipment,15000
11614,2016,FY2015_16,Public Safety,Police,Field Services Division,Communications,General Funds,General Fund,Expenses,Other Services and Supplies,Food - Food Programs,4099
11615,2016,FY2015_16,Public Safety,Police,Field Services Division,Communications,General Funds,General Fund,Expenses,Other Services and Supplies,Food - Food Programs,-4099
11616,2016,FY2015_16,Public Safety,Police,Field Services Division,Communications,General Funds,General Fund,Expenses,Other Services and Supplies,Recreational Supplies,750
11617,2016,FY2015_16,Public Safety,Police,Field Services Division,Communications,General Funds,General Fund,Expenses,Employee Services,Worker's Compensation,332649
11618,2016,FY2015_16,Public Safety,Police,Field Services Division,Communications,General Funds,General Fund,Expenses,Other Services and Supplies,Small Tools And Equipment,-10000
11619,2016,FY2015_16,Public Safety,Police,Field Services Division,Communications,General Funds,General Fund,Expenses,Employee Services,State Unemployment Insurance,17430
11620,2016,FY2015_16,Public Safety,Police,Field Services Division,Communications,General Funds,General Fund,Expenses,Employee Services,Medicare Insurance,92340
11621,2016,FY2015_16,Public Safety,Police,Field Services Division,Communications,General Funds,General Fund,Expenses,Employee Services,FICA - OASDI,385089
11622,2016,FY2015_16,Public Safety,Police,Field Services Division,Communications,General Funds,General Fund,Expenses,Employee Services,Clothing and Uniforms,36159
11623,2016,FY2015_16,Public Safety,Police,Field Services Division,Communications,General Funds,General Fund,Expenses,Employee Services,Bus Passes,500
11624,2016,FY2015_16,Public Safety,Police,Field Services Division,Communications,General Funds,General Fund,Expenses,Employee Services,Deferred Compensation No 1,16666
11625,2016,FY2015_16,Public Safety,Police,Field Services Division,Communications,General Funds,General Fund,Expenses,Employee Services,Automobile Allowance,1000
11626,2016,FY2015_16,Public Safety,Police,Field Services Division,Communications,General Funds,General Fund,Expenses,Employee Services,PERS Retirement,1018088
11627,2016,FY2015_16,Public Safety,Police,Field Services Division,Communications,General Funds,General Fund,Expenses,Employee Services,Management Leave Pay Off,1096
11628,2016,FY2015_16,Public Safety,Police,Field Services Division,Communications,General Funds,General Fund,Expenses,Employee Services,Insurance Contribution,778169
11629,2016,FY2015_16,Public Safety,Police,Field Services Division,Communications,General Funds,General Fund,Expenses,Employee Services,Longevity,2500
11630,2016,FY2015_16,Public Safety,Police,Field Services Division,Communications,General Funds,General Fund,Expenses,Employee Services,In Lieu Vacation,1370
11631,2016,FY2015_16,Public Safety,Police,Field Services Division,Communications,General Funds,General Fund,Expenses,Employee Services,Holiday Credit Used,23130
11632,2016,FY2015_16,Public Safety,Police,Field Services Division,Communications,General Funds,General Fund,Expenses,Employee Services,Vacation,15000
11633,2016,FY2015_16,Public Safety,Police,Field Services Division,Communications,General Funds,General Fund,Expenses,Employee Services,On Call,15000
11634,2016,FY2015_16,Public Safety,Police,Field Services Division,Communications,General Funds,General Fund,Expenses,Employee Services,Night Shift,670469
11635,2016,FY2015_16,Public Safety,Police,Field Services Division,Communications,General Funds,General Fund,Expenses,Employee Services,Vacation,-15000
11636,2016,FY2015_16,Public Safety,Police,Field Services Division,Communications,General Funds,General Fund,Expenses,Employee Services,Out Of Class,14268
11637,2016,FY2015_16,Public Safety,Police,Field Services Division,Communications,General Funds,General Fund,Expenses,Employee Services,Overtime,242000
11638,2016,FY2015_16,Public Safety,Police,Field Services Division,Communications,General Funds,General Fund,Expenses,Employee Services,Regular Hours,6368279
11639,2016,FY2015_16,Public Safety,Police,Field Services Division,Crime Analysis,General Funds,General Fund,Expenses,Employee Services,Longevity,400
11640,2016,FY2015_16,Public Safety,Police,Field Services Division,Crime Analysis,General Funds,General Fund,Expenses,Employee Services,In Lieu Vacation,828
11641,2016,FY2015_16,Public Safety,Police,Field Services Division,Crime Analysis,General Funds,General Fund,Expenses,Employee Services,Deferred Compensation No 1,1199
11642,2016,FY2015_16,Public Safety,Police,Field Services Division,Crime Analysis,General Funds,General Fund,Expenses,Employee Services,PERS Retirement,80521
11643,2016,FY2015_16,Public Safety,Police,Field Services Division,Crime Analysis,General Funds,General Fund,Expenses,Employee Services,Insurance Contribution,19805
11644,2016,FY2015_16,Public Safety,Police,Field Services Division,Crime Analysis,General Funds,General Fund,Expenses,Employee Services,Worker's Compensation,14816
11645,2016,FY2015_16,Public Safety,Police,Field Services Division,Crime Analysis,General Funds,General Fund,Expenses,Employee Services,State Unemployment Insurance,630
11646,2016,FY2015_16,Public Safety,Police,Field Services Division,Crime Analysis,General Funds,General Fund,Expenses,Employee Services,Medicare Insurance,3906
11647,2016,FY2015_16,Public Safety,Police,Field Services Division,Crime Analysis,General Funds,General Fund,Expenses,Employee Services,FICA - OASDI,3717
11648,2016,FY2015_16,Public Safety,Police,Field Services Division,Crime Analysis,General Funds,General Fund,Expenses,Employee Services,Clothing and Uniforms,1664
11649,2016,FY2015_16,Public Safety,Police,Field Services Division,Crime Analysis,General Funds,General Fund,Expenses,Other Services and Supplies,Books & Periodicals,150
11650,2016,FY2015_16,Public Safety,Police,Field Services Division,Crime Analysis,General Funds,General Fund,Expenses,Other Services and Supplies,Food - Food Programs,150
11651,2016,FY2015_16,Public Safety,Police,Field Services Division,Crime Analysis,General Funds,General Fund,Expenses,Other Services and Supplies,Computer Supplies,1000
11652,2016,FY2015_16,Public Safety,Police,Field Services Division,Crime Analysis,General Funds,General Fund,Expenses,Other Services and Supplies,Memberships Licenses and Dues,285
11653,2016,FY2015_16,Public Safety,Police,Field Services Division,Crime Analysis,General Funds,General Fund,Expenses,Other Services and Supplies,Cellular Telephone,300
11654,2016,FY2015_16,Public Safety,Police,Field Services Division,Crime Analysis,General Funds,General Fund,Expenses,Employee Services,EPERC,-6283
11655,2016,FY2015_16,Public Safety,Police,Field Services Division,Crime Analysis,General Funds,General Fund,Expenses,Other Services and Supplies,Office Supplies,3600
11656,2016,FY2015_16,Public Safety,Police,Field Services Division,Crime Analysis,General Funds,General Fund,Expenses,Other Services and Supplies,Blueprint And Photo,100
11657,2016,FY2015_16,Public Safety,Police,Field Services Division,Crime Analysis,General Funds,General Fund,Expenses,Employee Services,Regular Hours,269382
11658,2016,FY2015_16,Public Safety,Police,Field Services Division,Records,General Funds,General Fund,Expenses,Other Services and Supplies,Office Supplies,10000
11659,2016,FY2015_16,Public Safety,Police,Field Services Division,Records,General Funds,General Fund,Expenses,Employee Services,Regular Hours,3214352
11660,2016,FY2015_16,Public Safety,Police,Field Services Division,Records,General Funds,General Fund,Expenses,Employee Services,Overtime,130000
11661,2016,FY2015_16,Public Safety,Police,Field Services Division,Records,General Funds,General Fund,Revenues,"Charges, Fees, and Services",Other Departmental Service,142000
11662,2016,FY2015_16,Public Safety,Police,Field Services Division,Records,General Funds,General Fund,Expenses,Employee Services,Deferred Compensation No 1,17622
11663,2016,FY2015_16,Public Safety,Police,Field Services Division,Records,General Funds,General Fund,Expenses,Employee Services,Longevity,4000
11664,2016,FY2015_16,Public Safety,Police,Field Services Division,Records,General Funds,General Fund,Expenses,Employee Services,Holiday Credit Used,2167
11665,2016,FY2015_16,Public Safety,Police,Field Services Division,Records,General Funds,General Fund,Expenses,Employee Services,Night Shift,310132
11666,2016,FY2015_16,Public Safety,Police,Field Services Division,Records,General Funds,General Fund,Expenses,Employee Services,Bus Passes,1100
11667,2016,FY2015_16,Public Safety,Police,Field Services Division,Records,General Funds,General Fund,Expenses,Employee Services,PERS Retirement,490551
11668,2016,FY2015_16,Public Safety,Police,Field Services Division,Records,General Funds,General Fund,Expenses,Employee Services,Insurance Contribution,560827
11669,2016,FY2015_16,Public Safety,Police,Field Services Division,Records,General Funds,General Fund,Expenses,Employee Services,Worker's Compensation,50473
11670,2016,FY2015_16,Public Safety,Police,Field Services Division,Records,General Funds,General Fund,Expenses,Employee Services,State Unemployment Insurance,11550
11671,2016,FY2015_16,Public Safety,Police,Field Services Division,Records,General Funds,General Fund,Expenses,Employee Services,FICA - OASDI,199290
11672,2016,FY2015_16,Public Safety,Police,Field Services Division,Records,General Funds,General Fund,Expenses,Employee Services,Clothing and Uniforms,26624
11673,2016,FY2015_16,Public Safety,Police,Field Services Division,Records,General Funds,General Fund,Expenses,Employee Services,Medicare Insurance,46608
11674,2016,FY2015_16,Public Safety,Police,Field Services Division,Records,General Funds,General Fund,Expenses,Other Services and Supplies,Computer Software,3000
11675,2016,FY2015_16,Public Safety,Police,Field Services Division,Records,General Funds,General Fund,Expenses,Other Services and Supplies,Books & Periodicals,450
11676,2016,FY2015_16,Public Safety,Police,Field Services Division,Records,General Funds,General Fund,Expenses,Other Services and Supplies,Small Tools And Equipment,6000
11677,2016,FY2015_16,Public Safety,Police,Field Services Division,Records,General Funds,General Fund,Expenses,Other Services and Supplies,Food - Food Programs,596
11678,2016,FY2015_16,Public Safety,Police,Field Services Division,Records,General Funds,General Fund,Expenses,Other Services and Supplies,Recreational Supplies,600
11679,2016,FY2015_16,Public Safety,Police,Field Services Division,Records,General Funds,General Fund,Expenses,Other Services and Supplies,Computer Supplies,2000
11680,2016,FY2015_16,Public Safety,Police,Field Services Division,Records,General Funds,General Fund,Expenses,Other Services and Supplies,Memberships Licenses and Dues,850
11681,2016,FY2015_16,Public Safety,Police,Field Services Division,Records,General Funds,General Fund,Expenses,Other Services and Supplies,Group Benefit Clearing,30991
11682,2016,FY2015_16,Public Safety,Police,Field Services Division,Records,General Funds,General Fund,Expenses,City Property,Computer Equipment,8000
11683,2016,FY2015_16,Public Safety,Police,Field Services Division,Records,General Funds,General Fund,Expenses,Other Services and Supplies,Repair And Maintenance Service,8000
11684,2016,FY2015_16,Public Safety,Police,Field Services Division,Records,General Funds,General Fund,Expenses,Other Services and Supplies,Other Technical Services,48000
11685,2016,FY2015_16,Public Safety,Police,Field Services Division,Records,General Funds,General Fund,Expenses,Employee Services,EPERC,-29244
11686,2016,FY2015_16,Public Safety,Police,Field Services Division,Records,General Funds,General Fund,Expenses,Employee Services,Out Of Class,1303
11687,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Other Services and Supplies,Freight and Delivery,2000
11688,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Other Services and Supplies,Repair And Maintenance Service,55840
11689,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Other Services and Supplies,Other Technical Services,15000
11690,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Other Services and Supplies,Rental Of Equipment,2594
11691,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Other Services and Supplies,Scientific And Technical Supply,32090
11692,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Other Services and Supplies,Safety Equipment,2308
11693,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Other Services and Supplies,Mechanical Supplies,2900
11694,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Employee Services,EPERC,-8244
11695,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Other Services and Supplies,Postage,30
11696,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Other Services and Supplies,Chemicals,8500
11697,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Other Services and Supplies,Safety Equipment,155000
11698,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Other Services and Supplies,Office Supplies,38340
11699,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Other Services and Supplies,Printing And Binding,2000
11700,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Employee Services,Holiday Credit Used,4760
11701,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Employee Services,Overtime,35450
11702,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Revenues,Intergovernmental,Miscellaneous Governmental Revenue,125000
11703,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Employee Services,Regular Hours,1037879
11704,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Employee Services,Longevity,1600
11705,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Employee Services,In Lieu Vacation,605
11706,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Employee Services,On Call,6660
11707,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Employee Services,Night Shift,35935
11708,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Employee Services,Bus Passes,300
11709,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Employee Services,Deferred Compensation No 1,8269
11710,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Employee Services,Automobile Allowance,600
11711,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Employee Services,PERS Retirement,154519
11712,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Employee Services,Management Leave Pay Off,404
11713,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Employee Services,Insurance Contribution,153769
11714,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Employee Services,Worker's Compensation,32038
11715,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Employee Services,State Unemployment Insurance,3360
11716,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Employee Services,Medicare Insurance,15049
11717,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Employee Services,FICA - OASDI,64348
11718,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Other Services and Supplies,Food - Food Programs,1500
11719,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Other Services and Supplies,Inventory Adjustment,250
11720,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Other Services and Supplies,Inventory Adjustment,-250
11721,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Other Services and Supplies,Books & Periodicals,300
11722,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Other Services and Supplies,Ammunition & Explosives,109495
11723,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Other Services and Supplies,Small Tools And Equipment,31000
11724,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Other Services and Supplies,Recreational Supplies,500
11725,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Other Services and Supplies,Landscape Maintenance Services,2500
11726,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Other Services and Supplies,Security Services,33650
11727,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Other Services and Supplies,Other Professional Services,3000
11728,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Other Services and Supplies,Memberships Licenses and Dues,100
11729,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Other Services and Supplies,Group Benefit Clearing,2058
11730,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Other Services and Supplies,Group Benefit Clearing,-2058
11731,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Other Services and Supplies,Other Travel Expenses,1000
11732,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Other Services and Supplies,Telephone,800
11733,2016,FY2015_16,Public Safety,Police,Investigations Division,Property,General Funds,General Fund,Expenses,Other Services and Supplies,Laundry Services,2000
11734,2016,FY2015_16,Public Safety,Police,Field Services Division,Personnel,General Funds,General Fund,Expenses,Employee Services,Out Of Class,184
11735,2016,FY2015_16,Public Safety,Police,Field Services Division,Personnel,General Funds,General Fund,Expenses,Employee Services,Regular Hours,1164991
11736,2016,FY2015_16,Public Safety,Police,Field Services Division,Personnel,General Funds,General Fund,Expenses,Employee Services,Overtime,11000
11737,2016,FY2015_16,Public Safety,Police,Field Services Division,Personnel,General Funds,General Fund,Expenses,Employee Services,Insurance Contribution,140769
11738,2016,FY2015_16,Public Safety,Police,Field Services Division,Personnel,General Funds,General Fund,Expenses,Employee Services,Deferred Compensation No 1,15215
11739,2016,FY2015_16,Public Safety,Police,Field Services Division,Personnel,General Funds,General Fund,Expenses,Employee Services,Longevity,900
11740,2016,FY2015_16,Public Safety,Police,Field Services Division,Personnel,General Funds,General Fund,Expenses,Employee Services,In Lieu Vacation,2783
11741,2016,FY2015_16,Public Safety,Police,Field Services Division,Personnel,General Funds,General Fund,Expenses,Employee Services,Holiday Credit Used,12937
11742,2016,FY2015_16,Public Safety,Police,Field Services Division,Personnel,General Funds,General Fund,Expenses,Employee Services,Night Shift,270
11743,2016,FY2015_16,Public Safety,Police,Field Services Division,Personnel,General Funds,General Fund,Expenses,Employee Services,Bus Passes,200
11744,2016,FY2015_16,Public Safety,Police,Field Services Division,Personnel,General Funds,General Fund,Expenses,Employee Services,PERS Retirement,311051
11745,2016,FY2015_16,Public Safety,Police,Field Services Division,Personnel,General Funds,General Fund,Expenses,Employee Services,Management Leave Pay Off,548
11746,2016,FY2015_16,Public Safety,Police,Field Services Division,Personnel,General Funds,General Fund,Expenses,Employee Services,Worker's Compensation,44430
11747,2016,FY2015_16,Public Safety,Police,Field Services Division,Personnel,General Funds,General Fund,Expenses,Other Services and Supplies,Small Tools And Equipment,264
11748,2016,FY2015_16,Public Safety,Police,Field Services Division,Personnel,General Funds,General Fund,Expenses,Employee Services,State Unemployment Insurance,3150
11749,2016,FY2015_16,Public Safety,Police,Field Services Division,Personnel,General Funds,General Fund,Expenses,Employee Services,Department Reclasses,-21865
11750,2016,FY2015_16,Public Safety,Police,Field Services Division,Personnel,General Funds,General Fund,Expenses,Employee Services,FICA - OASDI,27066
11751,2016,FY2015_16,Public Safety,Police,Field Services Division,Personnel,General Funds,General Fund,Expenses,Employee Services,Clothing and Uniforms,908
11752,2016,FY2015_16,Public Safety,Police,Field Services Division,Personnel,General Funds,General Fund,Expenses,Employee Services,Medicare Insurance,16892
11753,2016,FY2015_16,Public Safety,Police,Field Services Division,Personnel,General Funds,General Fund,Expenses,Other Services and Supplies,Food - Official Hospitality,3901
11754,2016,FY2015_16,Public Safety,Police,Field Services Division,Personnel,General Funds,General Fund,Expenses,Other Services and Supplies,Books & Periodicals,2500
11755,2016,FY2015_16,Public Safety,Police,Field Services Division,Personnel,General Funds,General Fund,Expenses,Other Services and Supplies,Food - Food Programs,3037
11756,2016,FY2015_16,Public Safety,Police,Field Services Division,Personnel,General Funds,General Fund,Expenses,Other Services and Supplies,Food - Food Programs,-3037
11757,2016,FY2015_16,Public Safety,Police,Field Services Division,Personnel,General Funds,General Fund,Expenses,Other Services and Supplies,Recreational Supplies,1000
11758,2016,FY2015_16,Public Safety,Police,Field Services Division,Personnel,General Funds,General Fund,Expenses,Other Services and Supplies,Computer Supplies,16750
11759,2016,FY2015_16,Public Safety,Police,Field Services Division,Personnel,General Funds,General Fund,Expenses,Other Services and Supplies,Other Professional Services,48650
11760,2016,FY2015_16,Public Safety,Police,Field Services Division,Personnel,General Funds,General Fund,Expenses,Other Services and Supplies,Memberships Licenses and Dues,500
11761,2016,FY2015_16,Public Safety,Police,Field Services Division,Personnel,General Funds,General Fund,Expenses,Other Services and Supplies,Group Benefit Clearing,864
11762,2016,FY2015_16,Public Safety,Police,Field Services Division,Personnel,General Funds,General Fund,Expenses,Other Services and Supplies,Group Benefit Clearing,-864
11763,2016,FY2015_16,Public Safety,Police,Field Services Division,Personnel,General Funds,General Fund,Expenses,Other Services and Supplies,Personnel Recruitment Advertis,8000
11764,2016,FY2015_16,Public Safety,Police,Field Services Division,Personnel,General Funds,General Fund,Expenses,Other Services and Supplies,Repair And Maintenance Service,500
11765,2016,FY2015_16,Public Safety,Police,Field Services Division,Personnel,General Funds,General Fund,Expenses,Other Services and Supplies,Cellular Telephone,6050
11766,2016,FY2015_16,Public Safety,Police,Field Services Division,Personnel,General Funds,General Fund,Expenses,Other Services and Supplies,Other Technical Services,6000
11767,2016,FY2015_16,Public Safety,Police,Field Services Division,Personnel,General Funds,General Fund,Expenses,Other Services and Supplies,Scientific And Technical Supply,5405
11768,2016,FY2015_16,Public Safety,Police,Field Services Division,Personnel,General Funds,General Fund,Expenses,Employee Services,EPERC,-16970
11769,2016,FY2015_16,Public Safety,Police,Field Services Division,Personnel,General Funds,General Fund,Expenses,Other Services and Supplies,Postage,200
11770,2016,FY2015_16,Public Safety,Police,Field Services Division,Personnel,General Funds,General Fund,Expenses,Other Services and Supplies,Office Supplies,5000
11771,2016,FY2015_16,Public Safety,Police,Field Services Division,Personnel,General Funds,General Fund,Expenses,Other Services and Supplies,Printing And Binding,700
11772,2016,FY2015_16,Public Safety,Police,Field Services Division,Training,General Funds,General Fund,Expenses,Other Services and Supplies,Repair And Maintenance Service,7050
11773,2016,FY2015_16,Public Safety,Police,Field Services Division,Training,General Funds,General Fund,Expenses,Other Services and Supplies,Other Technical Services,3000
11774,2016,FY2015_16,Public Safety,Police,Field Services Division,Training,General Funds,General Fund,Expenses,Other Services and Supplies,Safety Equipment,2000
11775,2016,FY2015_16,Public Safety,Police,Field Services Division,Training,General Funds,General Fund,Expenses,Other Services and Supplies,Safety Equipment,281
11776,2016,FY2015_16,Public Safety,Police,Field Services Division,Training,General Funds,General Fund,Expenses,Employee Services,EPERC,-43064
11777,2016,FY2015_16,Public Safety,Police,Field Services Division,Training,General Funds,General Fund,Expenses,Other Services and Supplies,Postage,500
11778,2016,FY2015_16,Public Safety,Police,Field Services Division,Training,General Funds,General Fund,Expenses,Other Services and Supplies,Chemicals,500
11779,2016,FY2015_16,Public Safety,Police,Field Services Division,Training,General Funds,General Fund,Expenses,Other Services and Supplies,Office Supplies,6000
11780,2016,FY2015_16,Public Safety,Police,Field Services Division,Training,General Funds,General Fund,Expenses,Other Services and Supplies,Printing And Binding,2500
11781,2016,FY2015_16,Public Safety,Police,Field Services Division,Training,General Funds,General Fund,Expenses,Employee Services,Regular Hours,1664264
11782,2016,FY2015_16,Public Safety,Police,Field Services Division,Training,General Funds,General Fund,Revenues,Intergovernmental,Other Recoveries,3000
11783,2016,FY2015_16,Public Safety,Police,Field Services Division,Training,General Funds,General Fund,Revenues,Intergovernmental,P.O.S.T. Reimbursement,72000
11784,2016,FY2015_16,Public Safety,Police,Field Services Division,Training,General Funds,General Fund,Revenues,Intergovernmental,P.O.S.T. Reimbursement,-72000
11785,2016,FY2015_16,Public Safety,Police,Field Services Division,Training,General Funds,General Fund,Expenses,Employee Services,Insurance Contribution,173227
11786,2016,FY2015_16,Public Safety,Police,Field Services Division,Training,General Funds,General Fund,Expenses,Employee Services,Deferred Compensation No 1,6287
11787,2016,FY2015_16,Public Safety,Police,Field Services Division,Training,General Funds,General Fund,Expenses,Employee Services,Longevity,2500
11788,2016,FY2015_16,Public Safety,Police,Field Services Division,Training,General Funds,General Fund,Expenses,Employee Services,Sick Leave Annual,487
11789,2016,FY2015_16,Public Safety,Police,Field Services Division,Training,General Funds,General Fund,Expenses,Employee Services,In Lieu Vacation,4208
11790,2016,FY2015_16,Public Safety,Police,Field Services Division,Training,General Funds,General Fund,Expenses,Employee Services,Holiday Credit Used,30955
11791,2016,FY2015_16,Public Safety,Police,Field Services Division,Training,General Funds,General Fund,Expenses,Employee Services,PERS Retirement,550008
11792,2016,FY2015_16,Public Safety,Police,Field Services Division,Training,General Funds,General Fund,Expenses,Employee Services,Management Leave Pay Off,187
11793,2016,FY2015_16,Public Safety,Police,Field Services Division,Training,General Funds,General Fund,Expenses,Employee Services,Worker's Compensation,87667
11794,2016,FY2015_16,Public Safety,Police,Field Services Division,Training,General Funds,General Fund,Expenses,Other Services and Supplies,Small Tools And Equipment,2000
11795,2016,FY2015_16,Public Safety,Police,Field Services Division,Training,General Funds,General Fund,Expenses,Employee Services,State Unemployment Insurance,3570
11796,2016,FY2015_16,Public Safety,Police,Field Services Division,Training,General Funds,General Fund,Expenses,Employee Services,FICA - OASDI,5329
11797,2016,FY2015_16,Public Safety,Police,Field Services Division,Training,General Funds,General Fund,Expenses,Employee Services,Clothing and Uniforms,7488
11798,2016,FY2015_16,Public Safety,Police,Field Services Division,Training,General Funds,General Fund,Expenses,Employee Services,Medicare Insurance,24132
11799,2016,FY2015_16,Public Safety,Police,Field Services Division,Training,General Funds,General Fund,Expenses,Other Services and Supplies,Books & Periodicals,1100
11800,2016,FY2015_16,Public Safety,Police,Field Services Division,Training,General Funds,General Fund,Expenses,Other Services and Supplies,Ammunition & Explosives,1000
11801,2016,FY2015_16,Public Safety,Police,Field Services Division,Training,General Funds,General Fund,Expenses,Other Services and Supplies,Food - Food Programs,4000
11802,2016,FY2015_16,Public Safety,Police,Field Services Division,Training,General Funds,General Fund,Expenses,Other Services and Supplies,Recreational Supplies,1000
11803,2016,FY2015_16,Public Safety,Police,Field Services Division,Training,General Funds,General Fund,Expenses,Other Services and Supplies,Computer Supplies,8000
11804,2016,FY2015_16,Public Safety,Police,Field Services Division,Training,Risk Management Fund,Risk Mgmt Fund,Expenses,Labor and Supply Offset,Other Cost Reimbursement - DR,546423
11805,2016,FY2015_16,Public Safety,Police,Field Services Division,Training,Risk Management Fund,Risk Mgmt Fund,Expenses,Labor and Supply Offset,Other Cost Reimbursement - DR,-1348
11806,2016,FY2015_16,Public Safety,Police,Field Services Division,Training,General Funds,General Fund,Expenses,Labor and Supply Offset,Other Cost Reimbursement - CR,-546423
11807,2016,FY2015_16,Public Safety,Police,Field Services Division,Training,General Funds,General Fund,Expenses,Labor and Supply Offset,Other Cost Reimbursement - CR,1348
11808,2016,FY2015_16,Public Safety,Police,Field Services Division,Training,General Funds,General Fund,Expenses,Other Services and Supplies,Other Professional Services,14986
11809,2016,FY2015_16,Public Safety,Police,Field Services Division,Training,General Funds,General Fund,Expenses,Other Services and Supplies,Memberships Licenses and Dues,100
11810,2016,FY2015_16,Public Safety,Police,Field Services Division,Training,General Funds,General Fund,Expenses,Other Services and Supplies,Group Benefit Clearing,281
