budget_year,account_type,department,division,org_code,org_description,fund,fund_code,account_category,account_code,account_description,amount
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Earnings,E_412010,Overtime,6942
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Earnings,E_412050,Night Shift,2150
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Earnings,E_412060,On Call,5008
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Earnings,E_412070,Out Of Class,3898
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Employee Benefits,E_413150,Insurance Contribution,195564
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Employee Benefits,E_413170,PERS Retirement,256791
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Employee Benefits,E_413EPERC,EPERC,-890
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Employee Benefits,E_413300,Clothing and Uniforms,500
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Employer Paid Taxes,E_415010,FICA - OASDI,96632
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Employer Paid Taxes,E_415015,Medicare Insurance,22599
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Employer Paid Taxes,E_415020,State Unemployment Insurance,4200
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Employer Paid Taxes,E_415030,Worker's Compensation,64734
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Purchased Prof and Tech Svcs,E_434090,Other Technical Services,20514
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Purchased Property Services,E_442020,Disposal Services,1538
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Purchased Property Services,E_443010,Repair And Maintenance Service,208333
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Purchased Property Services,E_443030,Radio Equip M&R-Comm Division,1809
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Purchased Property Services,E_443050,Computer Software Maintenance,1476
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Purchased Property Services,E_444020,Rental Of Equipment,2915
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Other Purchased Services,E_453010,Telephone,1973
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Other Purchased Services,E_453020,Cellular Telephone,4365
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Other Purchased Services,E_453030,Communication Lines,5638
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Other Purchased Services,E_456040,Laundry Services,6278
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,General Supplies,E_461020,Office Supplies,5369
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,General Supplies,E_461040,Paint Supplies,10250
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,General Supplies,E_461050,Mechanical Supplies,114934
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Purchased Property Services,E_443010,Repair And Maintenance Service,-60000
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Property Accounts,E_474110,Machinery,-10000
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Property Accounts,E_474220,Vehicle Accessories,-20000
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,General Supplies,E_461210,Computer Software,90
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Property Accounts,E_474410,Computer Equipment,1587
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Purchased Property Services,E_443070,Vehicle Repair and Maintenance,90800
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Purchased Property Services,E_444030,Rental Of Vehicles,5729
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Energy and Fuel,E_462020,Fuel,44582
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Transfers 1,E_419010,Cost Reimb-Emp Svces-Credit,18251
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Interfund Reimbursement,E_502010,Other Cost Reimbursement - CR,125534
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Interfund Reimbursement,E_502070,CIP Labor Reimbursement - CR,19220
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Interfund Reimbursement,E_502110,CIP Indirect Cost - Credit,30227
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,Transfers 1,E_419020,Cost Reimb-Emp Svces-Chrg,121695
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Fleet Management,Interfund Reimbursement,E_502020,Other Cost Reimbursement - DR,147729
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,Purchased Property Services,E_446020,Fees And Permits,605000
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,Other Purchased Services,E_453010,Telephone,2250
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,Purchased Prof and Tech Svcs,E_432010,Contracted Instructional Svcs,7000
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,Purchased Property Services,E_443010,Repair And Maintenance Service,-7000
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,Purchased Property Services,E_443050,Computer Software Maintenance,-2140
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,General Supplies,E_461020,Office Supplies,4240
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,General Supplies,E_461200,Computer Supplies,-1670
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,General Supplies,E_461210,Computer Software,-1667
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,Property Accounts,E_474410,Computer Equipment,1237
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Interfund Reimbursement,E_502060,Budgeted Reimbursement - DR,136702
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,Labor Adjustments,E_810040,Base Labor Reduction,-5525
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,Purchased Property Services,E_443070,Vehicle Repair and Maintenance,586
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,Interfund Reimbursement,E_502050,Budgeted Reimbursement - CR,-230979
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,Interfund Reimbursement,E_502070,CIP Labor Reimbursement - CR,81621
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,Interfund Reimbursement,E_502050,Budgeted Reimbursement - CR,-410825
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Wastewater,Interfund Reimbursement,E_502060,Budgeted Reimbursement - DR,94277
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Interfund Reimbursement,E_502060,Budgeted Reimbursement - DR,231246
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Wastewater,Interfund Reimbursement,E_502060,Budgeted Reimbursement - DR,179579
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Interfund Reimbursement,E_502060,Budgeted Reimbursement - DR,353098
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Wastewater,Interfund Reimbursement,E_502060,Budgeted Reimbursement - DR,243516
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,Salaries,E_411010,Regular Hours,1208375
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,Employee Benefits,E_413130,Longevity,900
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,Employee Benefits,E_413150,Insurance Contribution,156708
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,Employee Benefits,E_413170,PERS Retirement,191034
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,Employee Benefits,E_413EPERC,EPERC,-9637
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,Employee Benefits,E_413190,Deferred Compensation No 1,33964
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,Employer Paid Taxes,E_415010,FICA - OASDI,72519
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,Employer Paid Taxes,E_415015,Medicare Insurance,17521
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,Employer Paid Taxes,E_415020,State Unemployment Insurance,3360
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,Employer Paid Taxes,E_415030,Worker's Compensation,29557
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,Purchased Prof and Tech Svcs,E_432010,Contracted Instructional Svcs,306
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,Purchased Prof and Tech Svcs,E_433060,Other Professional Services,50000
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,Other Purchased Services,E_453020,Cellular Telephone,1392
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,Other Purchased Services,E_458010,Transportation,3275
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,Other Purchased Services,E_458020,Meals,1000
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,Other Purchased Services,E_458030,Lodging,2000
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,Other Purchased Services,E_458040,Other Travel Expenses,2000
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,General Supplies,E_461010,Postage,79
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,General Supplies,E_461020,Office Supplies,5000
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,General Supplies,E_461200,Computer Supplies,2870
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,General Supplies,E_461210,Computer Software,2867
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,Property Accounts,E_474220,Vehicle Accessories,2400
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,Property Accounts,E_474410,Computer Equipment,4763
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,Interfund Reimbursement,E_502050,Budgeted Reimbursement - CR,-596614
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,Interfund Reimbursement,E_502070,CIP Labor Reimbursement - CR,-81621
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,Purchased Property Services,E_443010,Repair And Maintenance Service,40000
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,Purchased Property Services,E_443040,Computer Hardware Maintenance,3600
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,Purchased Property Services,E_443050,Computer Software Maintenance,25000
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,General Supplies,E_461210,Computer Software,1200
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Other Objects,E_481150,Memberships Licenses and Dues,2000
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Property Accounts,E_474410,Computer Equipment,6000
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Transfers 1,E_419010,Cost Reimb-Emp Svces-Credit,-51997
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Salaries,E_411010,Regular Hours,217410
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Earnings,E_412010,Overtime,10000
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Wastewater,Transfers 1,E_419020,Cost Reimb-Emp Svces-Chrg,8157
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,Transfers 1,E_419020,Cost Reimb-Emp Svces-Chrg,43840
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,Interfund Reimbursement,E_502020,Other Cost Reimbursement - DR,20200
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Purchased Property Services,E_443070,Vehicle Repair and Maintenance,1309
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Energy and Fuel,E_462020,Fuel,195
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Purchased Prof and Tech Svcs,E_433060,Other Professional Services,-40000
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Water,Interfund Reimbursement,E_502020,Other Cost Reimbursement - DR,-20200
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Earnings,E_412030,FLSA Overtime,3000
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Earnings,E_412060,On Call,1000
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Employee Benefits,E_413150,Insurance Contribution,13644
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Employee Benefits,E_413170,PERS Retirement,35820
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Employee Benefits,E_413EPERC,EPERC,-2174
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Employee Benefits,E_413190,Deferred Compensation No 1,8696
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Employer Paid Taxes,E_415010,FICA - OASDI,13200
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Employer Paid Taxes,E_415015,Medicare Insurance,3152
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Employer Paid Taxes,E_415020,State Unemployment Insurance,420
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Employer Paid Taxes,E_415030,Worker's Compensation,2174
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Purchased Prof and Tech Svcs,E_432010,Contracted Instructional Svcs,15000
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Purchased Prof and Tech Svcs,E_433060,Other Professional Services,140000
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Purchased Prof and Tech Svcs,E_434030,Security Services,262140
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Purchased Property Services,E_443010,Repair And Maintenance Service,50000
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Purchased Property Services,E_443050,Computer Software Maintenance,2800
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Purchased Property Services,E_443060,Equipment Maintenance and Repair,2069
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Purchased Property Services,E_444020,Rental Of Equipment,20000
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Other Purchased Services,E_455010,Printing And Binding,5000
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Other Purchased Services,E_458010,Transportation,1000
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Other Purchased Services,E_458020,Meals,1000
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Other Purchased Services,E_458030,Lodging,5000
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,Other Purchased Services,E_458040,Other Travel Expenses,500
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,General Supplies,E_461020,Office Supplies,2000
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,General Supplies,E_461090,Scientific And Technical Supply,5000
FY17,Expenses,Utilities,Operations & Maintenance Division,,,,Storm Drainage,General Supplies,E_461200,Computer Supplies,1200
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Property Accounts,E_474220,Vehicle Accessories,-1600
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Property Accounts,E_474310,Furniture And Fixture,-3908
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Property Accounts,E_474410,Computer Equipment,-55265
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Interfund SerProvided,E_501010,Central Services Mail Charges,-697
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Interfund Reimbursement,E_502050,Budgeted Reimbursement - CR,482506
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,Earnings,E_412010,Overtime,35000
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,Employee Benefits,E_413280,Automobile Allowance,25840
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,Purchased Prof and Tech Svcs,E_431020,Management Consulting,15000
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,Purchased Prof and Tech Svcs,E_432010,Contracted Instructional Svcs,57612
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,Purchased Property Services,E_443080,Accident Repair Charge,20500
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,Other Purchased Services,E_453010,Telephone,1025
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,Other Purchased Services,E_453020,Cellular Telephone,513
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,Other Purchased Services,E_455010,Printing And Binding,7175
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,Other Purchased Services,E_458010,Transportation,3213
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,Other Purchased Services,E_458020,Meals,6389
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,Other Purchased Services,E_458030,Lodging,3075
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,Other Purchased Services,E_458040,Other Travel Expenses,3918
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,General Supplies,E_461010,Postage,513
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,General Supplies,E_461020,Office Supplies,44500
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,General Supplies,E_461070,Safety Equipment,1025
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,General Supplies,E_461200,Computer Supplies,13213
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,General Supplies,E_461210,Computer Software,12755
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,General Supplies,E_461220,General Supply,1200
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,Books and Periodicals,E_464010,Books & Periodicals,1025
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,Other Objects,E_481150,Memberships Licenses and Dues,15375
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,Property Accounts,E_474220,Vehicle Accessories,1600
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,Property Accounts,E_474310,Furniture And Fixture,3908
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,Property Accounts,E_474410,Computer Equipment,55265
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,Interfund SerProvided,E_501010,Central Services Mail Charges,697
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,Interfund Reimbursement,E_502050,Budgeted Reimbursement - CR,-482506
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,Purchased Property Services,E_443070,Vehicle Repair and Maintenance,4741
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,Energy and Fuel,E_462020,Fuel,1684
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,Purchased Prof and Tech Svcs,E_433060,Other Professional Services,49632
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,Purchased Property Services,E_442030,Custodial Services,16000
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,Purchased Property Services,E_443040,Computer Hardware Maintenance,9840
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,Purchased Property Services,E_443050,Computer Software Maintenance,76698
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,Labor Adjustments,E_810040,Base Labor Reduction,-2244
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Interfund Reimbursement,E_502050,Budgeted Reimbursement - CR,2440384
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Interfund Reimbursement,E_502050,Budgeted Reimbursement - CR,-482506
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Interfund Reimbursement,E_502060,Budgeted Reimbursement - DR,120603
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,Interfund Reimbursement,E_502060,Budgeted Reimbursement - DR,-1220192
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,Interfund Reimbursement,E_502050,Budgeted Reimbursement - CR,160898
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,Interfund Reimbursement,E_502070,CIP Labor Reimbursement - CR,-22000
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Wastewater,Interfund Reimbursement,E_502060,Budgeted Reimbursement - DR,-1019187
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Other Purchased Services,E_453010,Telephone,1025
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Other Purchased Services,E_453020,Cellular Telephone,513
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Other Purchased Services,E_455010,Printing And Binding,7175
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Other Purchased Services,E_458010,Transportation,1025
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Other Purchased Services,E_458020,Meals,2050
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Other Purchased Services,E_458030,Lodging,3075
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Other Purchased Services,E_458040,Other Travel Expenses,1025
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,General Supplies,E_461010,Postage,513
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,General Supplies,E_461020,Office Supplies,44500
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,General Supplies,E_461070,Safety Equipment,1025
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,General Supplies,E_461200,Computer Supplies,13213
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,General Supplies,E_461210,Computer Software,12755
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,General Supplies,E_461220,General Supply,1200
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Books and Periodicals,E_464010,Books & Periodicals,1025
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Other Objects,E_481150,Memberships Licenses and Dues,15375
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Property Accounts,E_474220,Vehicle Accessories,1600
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Property Accounts,E_474310,Furniture And Fixture,3908
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Property Accounts,E_474410,Computer Equipment,55265
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Interfund SerProvided,E_501010,Central Services Mail Charges,697
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Interfund Reimbursement,E_502050,Budgeted Reimbursement - CR,-2440384
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Earnings,E_412010,Overtime,35000
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Employee Benefits,E_413280,Automobile Allowance,25840
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Purchased Prof and Tech Svcs,E_431020,Management Consulting,15000
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Purchased Prof and Tech Svcs,E_432010,Contracted Instructional Svcs,57612
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Purchased Prof and Tech Svcs,E_433060,Other Professional Services,67066
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Purchased Property Services,E_442030,Custodial Services,16000
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Purchased Property Services,E_443040,Computer Hardware Maintenance,9840
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Purchased Property Services,E_443050,Computer Software Maintenance,76698
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Purchased Property Services,E_444020,Rental Of Equipment,20500
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Wastewater,Interfund Reimbursement,E_502060,Budgeted Reimbursement - DR,1220192
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,Employer Paid Taxes,E_415030,Worker's Compensation,10661
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,Interfund Reimbursement,E_502060,Budgeted Reimbursement - DR,1220192
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,Salaries,E_411010,Regular Hours,385447
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,Employee Benefits,E_413150,Insurance Contribution,44535
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,Employee Benefits,E_413170,PERS Retirement,63506
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,Employee Benefits,E_413EPERC,EPERC,-2207
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,Employee Benefits,E_413190,Deferred Compensation No 1,10545
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,Employer Paid Taxes,E_415010,FICA - OASDI,21210
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,Employer Paid Taxes,E_415015,Medicare Insurance,5588
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Water,Employer Paid Taxes,E_415020,State Unemployment Insurance,1050
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Earnings,E_412010,Overtime,-35000
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Employee Benefits,E_413280,Automobile Allowance,-25840
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Purchased Prof and Tech Svcs,E_431020,Management Consulting,-15000
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Purchased Prof and Tech Svcs,E_432010,Contracted Instructional Svcs,-57612
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Purchased Prof and Tech Svcs,E_433060,Other Professional Services,-67066
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Purchased Property Services,E_442030,Custodial Services,-16000
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Purchased Property Services,E_443040,Computer Hardware Maintenance,-9840
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Purchased Property Services,E_443050,Computer Software Maintenance,-76698
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Purchased Property Services,E_444020,Rental Of Equipment,-20500
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Other Purchased Services,E_453010,Telephone,-1025
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Other Purchased Services,E_453020,Cellular Telephone,-513
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Other Purchased Services,E_455010,Printing And Binding,-7175
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Other Purchased Services,E_458010,Transportation,-1025
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Other Purchased Services,E_458020,Meals,-2050
FY17,Expenses,Utilities,Engineering  & Water Services Division,,,,Storm Drainage,Other Purchased Services,E_458030,Lodging,-3075
